C:\Nolek\Logs\2022-0772_C1_230227.csv;120 Bar;60 Liter;Room GR1.1
Log Time;StepNo;CircuitName;TMP1;TMP2;B31;B32;B21;B22;P101;RegulatorSP;RegulatorFB

27/02/2023 15.45.42;13000;R1.1;20,13;19,97;19,71212;16,91837;18,06475;9,427716;132,2238;20;0
27/02/2023 15.46.12;13000;R1.1;20,13;19,97;19,81061;14,03316;18,22038;10,02777;133,7075;20;0
27/02/2023 15.46.42;13000;R1.1;20,13;19,97;20,00758;12,04337;18,6181;11,93177;136,2407;20;0
27/02/2023 15.47.13;13000;R1.1;20,14;19,97;20,20455;10,25255;19,10229;14,14734;139,8233;20;0
27/02/2023 15.47.43;13000;R1.1;20,13;19,96;20,30303;8,760204;19,15993;16,12059;142,5284;20;0
27/02/2023 15.48.13;13500;R1.1;20,14;19,95;20,5;7,964285;19,40203;17,78803;146,9254;20;0
27/02/2023 15.48.43;14000;R1.1;20,14;19,96;20,60326;7,566326;19,73058;19,06314;148,961;20;0
27/02/2023 15.49.13;14000;R1.1;20,14;19,96;20,70652;7,665816;19,76517;19,7959;151,9375;20;0
27/02/2023 15.49.43;14000;R1.1;20,15;19,95;20,80978;8,163265;19,75364;19,99784;154,9592;20;0
27/02/2023 15.50.13;14000;R1.1;20,15;19,95;20,80978;8,959184;19,71905;19,95168;157,3024;20;0
27/02/2023 15.50.43;14000;R1.1;20,14;19,95;20,80978;9,655612;19,70176;19,93437;158,37;20;0
27/02/2023 16.00.48;13000;R1.1;20,14;19,92;20,10606;12,24235;17,64973;9,185388;133,9337;20;0
27/02/2023 16.01.18;13000;R1.1;20,13;19,92;20,20455;10,15306;18,25497;10,26433;137,254;20;0
27/02/2023 16.01.48;13000;R1.1;20,14;19,92;20,30303;8,262754;18,71033;12,30103;140,2486;20;0
27/02/2023 16.02.18;13000;R1.1;20,14;19,91;20,5;6,571428;19,14841;14,4993;143,976;20;0
27/02/2023 16.02.48;13000;R1.1;20,13;19,9;20,60326;5,477041;19,07924;16,40907;148,1829;20;0
27/02/2023 16.03.19;14000;R1.1;20,12;19,89;20,80978;4,979592;19,4712;18,02459;151,2318;20;0
27/02/2023 16.03.49;14000;R1.1;20,12;19,89;20,91304;4,780612;19,64412;19,22469;152,815;20;0
27/02/2023 16.04.19;14000;R1.1;20,12;19,88;21,0163;5,079082;19,64412;19,76128;155,0225;20;0
27/02/2023 16.04.49;14000;R1.1;20,11;19,88;21,0163;5,57653;19,84586;20,06707;155,1673;20;0
27/02/2023 16.05.19;14000;R1.1;20,11;19,88;21,0163;6,372449;19,96115;20,20555;155,3301;20;0
27/02/2023 16.05.49;14000;R1.1;20,11;19,87;21,0163;7,168367;19,92656;20,1767;155,5473;20;0
27/02/2023 16.06.19;14000;R1.1;20,1;19,86;21,0163;7,964285;19,9208;20,15939;155,6015;20;0
27/02/2023 16.06.51;14000;R1.1;20,09;19,86;21,0163;8,561224;19,9208;20,16516;155,7101;20;0
27/02/2023 16.07.20;14000;R1.1;20,09;19,85;21,0163;9,058673;19,9208;20,17093;155,9363;20;0
27/02/2023 16.07.50;14000;R1.1;20,08;19,86;21,0163;9,456633;19,9208;20,17093;156,0901;20;0
27/02/2023 16.08.20;14000;R1.1;20,07;19,86;21,0163;9,954082;19,9208;20,17093;156,2982;20;0
27/02/2023 16.08.50;14000;R1.1;20,06;19,86;21,0163;10,25255;19,9208;20,17093;156,5063;20;0
27/02/2023 16.09.20;14000;R1.1;20,05;19,86;20,91304;10,55102;19,9208;20,16516;156,651;20;0
27/02/2023 16.09.50;14000;R1.1;20,05;19,86;20,91304;10,84949;19,9208;20,18247;156,8862;20;0
27/02/2023 16.10.20;14000;R1.1;20,05;19,86;20,91304;11,04847;19,9208;20,17093;157,031;20;0
27/02/2023 16.10.50;14000;R1.1;20,05;19,86;20,91304;11,34694;19,9208;20,16516;157,3205;20;0
27/02/2023 16.11.21;14000;R1.1;20,05;19,87;20,91304;11,54592;19,9208;20,17093;157,4562;20;0
27/02/2023 16.11.51;14000;R1.1;20,05;19,87;20,91304;11,84439;19,91503;20,1767;157,9176;20;0
27/02/2023 16.12.21;14000;R1.1;20,06;19,88;20,91304;12,14286;19,93233;20,19401;157,9447;20;0
27/02/2023 16.12.51;14000;R1.1;20,06;19,88;20,91304;12,34184;19,93233;20,18824;158,4333;20;0
27/02/2023 16.13.21;14500;R1.1;20,05;19,88;20,91304;12,54082;0;20,18247;158,4333;0;0
27/02/2023 16.13.52;14500;R1.1;20,06;19,88;20,80978;12,7398;-1,152824E-02;20,19401;159,0123;0;0
27/02/2023 16.14.22;15000;R1.1;20,06;19,89;20,80978;13,03827;-1,152824E-02;20,18824;159,0756;0;0
27/02/2023 16.14.52;15000;R1.1;20,07;19,9;20,80978;13,13775;-1,729236E-02;20,19978;159,6275;0;0
27/02/2023 16.15.22;16000;R1.1;20,07;19,9;20,80978;13,33673;19,60377;20,18824;159,7361;20;0
27/02/2023 16.15.52;16000;R1.1;20,07;19,91;20,80978;13,53571;19,62106;20,19401;160,5775;20;0
27/02/2023 16.16.22;16000;R1.1;20,08;19,92;20,80978;13,6352;19,63836;20,20555;160,7222;20;0
27/02/2023 16.16.52;16000;R1.1;20,08;19,92;20,80978;13,73469;19,64412;20,18824;161,5546;20;0
27/02/2023 16.17.22;16000;R1.1;20,08;19,92;20,80978;13,93367;19,67294;20,19401;161,5817;20;0
27/02/2023 16.17.52;16000;R1.1;20,09;19,92;20,80978;14,03316;19,6787;20,21132;162,1698;20;0
27/02/2023 16.18.25;16000;R1.1;20,1;19,92;20,80978;14,13265;19,6787;20,20555;162,1064;20;0
27/02/2023 16.18.55;16000;R1.1;20,1;19,93;20,70652;14,23214;19,696;20,21132;162,7759;20;0
27/02/2023 16.19.25;16000;R1.1;20,1;19,93;20,70652;14,33163;19,71905;20,21708;162,6402;20;0
27/02/2023 16.19.55;16000;R1.1;20,1;19,94;20,70652;14,53061;19,72482;20,22285;163,364;20;0
27/02/2023 16.20.25;16000;R1.1;20,1;19,94;20,70652;14,6301;19,72482;20,21708;163,3911;20;0
27/02/2023 16.20.55;16000;R1.1;20,11;19,95;20,70652;14,72959;19,74211;20,22285;163,6625;20;0
27/02/2023 16.21.29;16000;R1.1;20,12;19,95;20,70652;14,82908;19,75364;20,22285;163,943;20;0
27/02/2023 16.21.56;16000;R1.1;20,12;19,96;20,70652;14,92857;19,7594;20,22285;164,2144;20;0
27/02/2023 16.22.26;16000;R1.1;20,12;19,96;20,70652;15,02806;19,7594;20,21708;164,3049;20;0
27/02/2023 16.22.56;16000;R1.1;20,12;19,96;20,70652;15,12755;19,76517;20,21132;164,6758;20;0
27/02/2023 16.23.26;16000;R1.1;20,12;19,97;20,70652;15,22704;19,77669;20,22285;164,911;20;0
27/02/2023 16.23.56;16000;R1.1;20,13;19,97;20,60326;15,32653;19,78246;20,22285;164,9291;20;0
27/02/2023 16.24.26;16000;R1.1;20,14;19,98;20,60326;15,42602;19,78822;20,22285;165,6439;20;0
27/02/2023 16.24.56;16000;R1.1;20,14;19,98;20,60326;15,42602;19,79975;20,22862;172,939;20;0
27/02/2023 16.25.26;16000;R1.1;20,14;19,98;20,60326;15,52551;19,80551;20,22862;186,0692;20;0
27/02/2023 16.26.01;16000;R1.1;20,15;19,98;20,60326;15,625;19,80551;20,21708;187,2489;20;0
27/02/2023 16.26.27;16000;R1.1;20,15;19,98;20,60326;15,72449;19,80551;20,24016;187,357;20;0
27/02/2023 16.26.57;16000;R1.1;20,15;19,98;20,60326;15,82398;19,80551;20,23439;187,411;20;0
27/02/2023 16.27.27;16000;R1.1;20,15;19,99;20,60326;15,92347;19,80551;20,22862;187,4561;20;0
27/02/2023 16.27.57;16000;R1.1;20,16;19,99;20,60326;15,92347;19,81704;20,23439;187,4831;20;0
27/02/2023 16.28.27;16000;R1.1;20,16;19,98;20,60326;16,02296;19,81704;20,22862;187,5731;20;0
27/02/2023 16.28.57;16000;R1.1;20,17;19,98;20,60326;16,12245;19,82857;20,24593;187,6002;20;0
27/02/2023 16.29.27;16000;R1.1;20,17;19,98;20,5;16,12245;19,82857;20,22862;187,6272;20;0
